Band Number,Nominal Center Wavelength,Center Wavelength,Width (FWHM),Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
1,411,410.879,18.207,1728.834,3.21E-01,2.95E-02,2.63E-04,6.03E-19
2,445,444.836,17.066,1924.791,2.31E-01,2.91E-02,3.22E-03,4.93E-19
3,489,488.692,19.159,1978.965,1.57E-01,2.87E-02,2.13E-02,2.88E-19
4,556,556.469,18.128,1827.207,9.25E-02,2.83E-02,9.97E-02,8.78E-20
5,667,667.28,19.32,1511.209,4.42E-02,2.79E-02,4.77E-02,7.90E-21
6,746,746.224,13.42,1274.292,2.82E-02,2.77E-02,1.08E-02,1.84E-21
7,868,867.595,36.47,950.49,1.53E-02,2.76E-02,2.06E-03,6.18E-23
8,1238,1238.368,26.138,456.086,3.65E-03,2.73E-02,3.98E-14,0.00E+00
9,1604,1603.769,60.197,249.746,1.30E-03,2.73E-02,2.38E-14,0.00E+00
10,2258,2258.174,52.025,77.106,3.29E-04,2.72E-02,1.42E-13,0.00E+00
