Band Number,Nominal Center Wavelength,Center Wavelength,Width (FWHM),Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
1,478,477.605,72.648,1995.927,1.75E-01,2.88E-02,1.81E-02,3.41E-19
2,560,560.041,81.383,1810.941,9.14E-02,2.83E-02,1.01E-01,9.01E-20
3,661,661.346,61.406,1533.26,4.63E-02,2.79E-02,5.64E-02,1.03E-20
4,835,834.812,126.391,1038.737,1.85E-02,2.76E-02,3.71E-03,1.80E-22
5,1648,1647.57,201.072,230.809,1.19E-03,2.73E-02,0.00E+00,0.00E+00
6,2205,2205.034,281.155,84.895,3.73E-04,2.72E-02,0.00E+00,0.00E+00
