Band Number,Nominal Center Wavelength,Center Wavelength,Width (FWHM),Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
1,485,485.111,65.393,1982.294,1.64E-01,2.87E-02,2.23E-02,3.08E-19
2,569,568.644,81.282,1795.24,8.56E-02,2.82E-02,1.08E-01,7.63E-20
3,660,659.783,66.829,1536.677,4.68E-02,2.79E-02,5.87E-02,1.11E-20
4,840,840.431,128.079,1030.775,1.83E-02,2.76E-02,3.56E-03,1.75E-22
5,1676,1675.799,216.678,219.977,1.12E-03,2.73E-02,0.00E+00,0.00E+00
6,2223,2223.108,251.866,83.444,3.64E-04,2.72E-02,0.00E+00,0.00E+00
